#OTU ID	sample13	sample14	sample15
cdef6f651fbaee3cd224b9f48489807a	0	2	0
066c7e7807723a19cd89b22622189961	20	0	0
0af2aee8c0040db1b011087cf18f51cc	0	9	19
fa9df3334ff0b289bb1bd88673cce0fc	0	25	0
0d989d155d117292c5198a2ac218a97f	17	0	14
7eaf7222005527266d37520afaaefdfd	0	4	0
0c5f3cab7a3df017cab528285f0cff7b	55	58	42
933a5c2e71af312a3230d83dff66f9e4	33	29	73
4210aa5cb22f410b33da4c109bdd814f	0	26	0
dd0e105ceac38ff3f467b3cdd2746f81	43	0	0
57a7fb5cf57ce47f86378a585457322f	0	0	14
86816e0d54976e01f3e4712d55be04d2	0	7	11
e677be88f519f8f075352c43c8dcbb0d	0	13	0
b9e19b93581753ea4f175987d9958fc7	25	0	0
e9ac80b3b7f2f0cfe652a21e1250ed62	0	8	0
52335f052a96b3251198555fd6851c53	14	0	0
d22d95532882baf929b8c9059ef4b540	0	16	19
bfcf1d3746a5339f0c0010233a117b66	22	14	35
c32143ed067035738c5dbeb283a83790	45	0	33
07dcf8e5e04bcf2ee40da5d5fa114dfd	5	0	0
d6b73477687a9b2f64b4dc6ad4ff0d78	0	0	10
22a2551b556aa1fc1d196c6a9a7ab0da	0	9	0
40e04db9b053a7916dec5dfc72902997	29	22	0
a6857be4c4419bf8f0b444394341b4d5	0	0	26
307adbc6fb5b3d726247ca994176ae0e	0	18	27
fe5665d34933a6c66978e19e631203c1	13	0	0
b308727c33ea1bfd9567d50f8e68d96c	0	0	47
1cabf0253a2fcb41051347659dc3a0e7	41	56	0
6dfd9ec91a19030d94f77076dad070f0	7	0	9
f62c6c25f6c080509b731191a9c95025	0	0	22
2b6208de5488da0b68e99dc08eabd1c4	6	0	11
e425af763c55cb420f9017d80ff96ebd	18	9	0
992f9574ce0e59956d734b5bd1ef81ab	21	29	0
7c7785d0fc459bff976a120f12cd3e3d	0	0	30
4f9259c3722dcb3d82e8451464a3d60a	0	0	17
720990c68d5dbc19c78967fde65f1f05	0	0	47
fa20c918e0f9b653d6b42d75dad67d4e	0	21	0
ede15fb563222a59b54464ff3857badb	0	11	0
c34b39d92e12b9be51da54f1640b011b	0	11	17
2f5f40b37958b96510681868b36ec7ae	23	46	43
2dbc1777a3d602a5d81f1a8df3da37f7	19	0	0
359630ea9f85e714da09b7f1f3ff8638	0	45	0
a0c0585d05222fc90804b5ef26e64aee	53	57	43
003682fe953feae63dfddc3c1f894f5a	8	0	0
e4d9699729e0e056a0c772efc6dd6005	0	30	0
